Name, noCls, noOper, noAttr, noPara, extOperPara, noAssociation, noAssocType, extOrpCls, noOrpCls, avgAttrCls, avgOperCls, avgAssocCls, avgParaOper, avgOrpCls, maxAttrCls, maxOperCls,isFWD,
DesignModel.png.xml,21,26,46,27, false ,5,1, true ,15,2.19,1.238,0.238,1.769,0.714,12,8,1,
DesignModel_Structure(DistributionStation).png.xml,5,10,12,0, false ,11,0, false ,0,2.4,2,2.2,1.200,0,9,10,1,
DesignModel_Structure(ProcessingStation).png.xml,5,0,3,0, false ,6,0, true ,2,0.6,0,1.2,0.000,0.4,1,0,1,
DesignModel_Structure(TestingStation).png.xml,1,1,3,0, false ,0,0, true ,1,3,1,0,3.000,1,3,1,1,
DesignModel_Structure(WarehousingStation).png.xml,3,0,2,0, false ,3,0, true ,1,0.667,0,1,0.000,0.333,1,0,1,
Diagram3_2..png.xml,4,2,2,0, false ,8,0, false ,0,0.5,0.5,2,1.000,0,2,2,1,
diagram_37..png.xml,7,0,0,0, false ,4,1, true ,3,0,0,0.571,0.000,0.429,0,0,1,
diagram_61..png.xml,4,0,25,0, false ,4,1, false ,0,6.25,0,1,0.000,0,17,0,1,
Diagrama Classe Compiunit.jpg.xml,14,27,33,0, false ,17,1, false ,0,2.357,1.929,1.214,1.222,0,7,3,1,
Diagrama de Clases con Paquetes_1..png.xml,5,0,8,0, false ,7,0, false ,0,1.6,0,1.4,0.000,0,4,0,1,
Diagrama de Clases de Analisis v2.png.xml,8,0,25,0, false ,7,0, true ,1,3.125,0,0.875,0.000,0.125,10,0,1,
Diagrama de Clases.jpg.xml,10,8,51,0, false ,12,1, false ,0,5.1,0.8,1.2,6.375,0,8,1,1,
Diagrama de Clases_1..png.xml,9,8,56,0, false ,9,0, false ,0,6.222,0.889,1,7.000,0,8,1,1,
Diagrama de Classe.jpg.xml,15,16,14,7, false ,6,1, true ,7,0.933,1.067,0.4,0.875,0.467,5,5,1,
Diagrama de Classes - Biblioteca.jpg.xml,6,0,15,1, false ,7,0, false ,0,2.5,0,1.167,0.000,0,7,0,1,
Diagrama de Classes de Dom_±nio.jpg.xml,8,0,34,0, false ,9,0, false ,0,4.25,0,1.125,0.000,0,7,0,1,
Diagrama de classes de projeto.jpg.xml,9,31,39,0, false ,10,0, false ,0,4.333,3.444,1.111,1.258,0,8,5,1,
diagrama de classes.jpg.xml,8,0,14,0, false ,4,0, true ,3,1.75,0,0.5,0.000,0.375,6,0,1,
diagrama de classes_2..jpg.xml,12,0,37,0, false ,9,0, true ,1,3.083,0,0.75,0.000,0.083,7,0,1,
Diagrama de Paquetes.png.xml,5,0,5,0, false ,5,0, false ,0,1,0,1,0.000,0,5,0,1,
Diagrama1.jpeg.xml,16,0,54,0, false ,4,0, true ,11,3.375,0,0.25,0.000,0.688,6,0,1,
diagrama1.png.xml,21,10,33,0, false ,14,1, true ,10,1.571,0.476,0.667,3.300,0.476,4,2,1,
diagrama_1..png.xml,13,23,22,21, false ,25,1, false ,0,1.692,1.769,1.923,0.957,0,6,13,1,
diagrama_classe.png.xml,5,6,2,5, false ,4,0, true ,1,0.4,1.2,0.8,0.333,0.2,2,2,1,
diagrama_classe_1..png.xml,3,6,6,0, false ,0,1, true ,3,2,2,0,1.000,1,2,2,1,
Diagrama_de_classes_diarias.jpg.xml,9,14,0,0, false ,7,1, true ,3,0,1.556,0.778,0.000,0.333,0,4,1,
Diagrama_para_implementar_driver.png.xml,38,0,2,0, false ,24,1, true ,20,0.053,0,0.632,0.000,0.526,1,0,1,
DiagramaClassesModelo.png.xml,17,36,47,3, false ,34,0, false ,0,2.765,2.118,2,1.306,0,10,16,1,
DiagramaClassesModelo_1..png.xml,19,56,47,13, false ,36,0, true ,1,2.474,2.947,1.895,0.839,0.053,10,14,1,
DiagramaDeClases.jpg.xml,16,0,73,0, false ,17,1, false ,0,4.563,0,1.063,0.000,0,11,0,1,
DiagramaDeClases.png.xml,10,3,20,0, false ,9,0, true ,1,2,0.3,0.9,6.667,0.1,4,2,1,
diagramadeclasse.png.xml,9,0,0,0, false ,6,0, true ,2,0,0,0.667,0.000,0.222,0,0,1,
DiagramaDeClasses.jpg.xml,1,0,3,0, false ,4,0, false ,0,3,0,4,0.000,0,3,0,1,
diagramaRecursosProposta.png.xml,5,4,0,0, false ,1,0, true ,3,0,0.8,0.2,0.000,0.6,0,1,1,
DesignModel_TabWidgetOverview.gif.xml,4,0,48,38, false ,0,1, true ,4,12,0,0,0.000,1,46,0,0,
DesignModel_TimeDetails.gif.xml,5,10,11,16, false ,4,0, false ,0,2.2,2,0.8,1.100,0,7,8,0,
DesignModel_TreeWidgetOverview.gif.xml,10,0,1,34, false ,14,0, true ,4,0.1,0,1.4,0.000,0.4,1,0,0,
DesignModel_WebUIControllerOverview.gif.xml,2,0,36,47, false ,3,0, true ,1,18,0,1.5,0.000,0.5,36,0,0,
DesignModel_XmlResourceBundleOverview.gif.xml,2,0,8,23, false ,2,0, true ,1,4,0,1,0.000,0.5,7,0,0,
Diagram3.png.xml,5,6,5,8, false ,7,0, false ,0,1,1.2,1.4,0.833,0,5,6,0,
diagram_48..xml,9,0,24,34, false ,1,1, true ,7,2.667,0,0.111,0.000,0.778,4,0,0,
diagram_49..xml,20,0,0,6, false ,7,1, true ,10,0,0,0.35,0.000,0.5,0,0,0,
Diagrama de Clases Interfaz.png.xml,3,16,23,11, false ,2,0, false ,0,7.667,5.333,0.667,1.438,0,20,7,0,
Diagrama de clases Sprint1 _ Login.jpg.xml,4,0,27,11, false ,8,1, true ,1,6.75,0,2,0.000,0.25,22,0,0,
Diagrama de clases v0.png.xml,29,41,52,41, false ,7,1, true ,20,1.793,1.414,0.241,1.268,0.69,6,10,0,
Diagrama de clases v1.png.xml,30,99,106,120, false ,2,1, true ,26,3.533,3.3,0.067,1.071,0.867,25,15,0,
Diagrama de classe - models.png.xml,5,3,26,5, false ,3,0, true ,2,5.2,0.6,0.6,8.667,0.4,10,3,0,
Diagrama de classe - reader.png.xml,1,0,0,9, false ,1,0, false ,0,0,0,1,0.000,0,0,0,0,
Diagrama de classe - view.png.xml,1,0,0,10, false ,1,0, false ,0,0,0,1,0.000,0,0,0,0,
Diagrama de classe.png.xml,5,0,0,36, false ,5,0, false ,0,0,0,1,0.000,0,0,0,0,
Diagrama de Classes de Projeto.png.xml,10,32,38,0, false ,16,0, false ,0,3.8,3.2,1.6,1.188,0,6,4,0,
diagrama.png.xml,7,38,16,27, false ,10,0, false ,0,2.286,5.429,1.429,0.421,0,5,12,0,
diagrama_de_classes.jpg.xml,23,113,180,104, false ,7,0, true ,16,7.826,4.913,0.304,1.593,0.696,27,21,0,
diagramas_de_clases.png.xml,12,0,22,0, false ,7,0, true ,3,1.833,0,0.583,0.000,0.25,15,0,0,
DiagrammeClasseFin.png.xml,23,53,62,82, false ,15,1, true ,15,2.696,2.304,0.652,1.170,0.652,23,15,0,
DiagrammeNoyau.class_diagram.png.xml,14,23,75,122, false ,27,1, true ,1,5.357,1.643,1.929,3.261,0.071,16,10,0,
dienste_automat_klassendiagramm.png.xml,9,25,2,9, false ,3,1, true ,6,0.222,2.778,0.333,0.080,0.667,1,11,0,
domain-classdiagram.jpg.xml,24,6,102,0, false ,23,0, true ,5,4.25,0.25,0.958,17.000,0.208,20,5,0,
EasyPlayerClassUML.jpg.xml,5,0,0,39, false ,8,0, false ,0,0,0,1.6,0.000,0,0,0,0,
